Scenario - for study									
Logfile written - 2016/1/12 20:00:56									
									
Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
									
1	Response	4	399706	399706	2				
3	Picture	ND050	406061	1000	165	8162	166	1000	8000
4	Response	2	420402	6178	1				
5	Picture	ND060	431725	1165	2	8000	173	1000	8000
6	Response	2	443003	2943	2				
7	Picture	B2D030	460896	1000	170	7168	171	1000	8000
7	Response	2	468002	8106	1				
9	Picture	AD060	486733	1000	171	6334	172	1000	8000
9	Response	1	492936	7203	1				
11	Picture	B2D040	514070	1000	170	5635	384	1000	8000
11	Response	1	519627	6557	78				
13	Picture	NT010	540740	1000	171	5834	172	1000	8000
13	Response	2	546485	6745	3				
15	Picture	ND070	567245	1002	169	6499	171	1000	8000
15	Response	2	573577	7334	2				
17	Picture	B1D030	593918	1000	166	8164	167	1000	8000
18	Response	2	611763	9680	1				
19	Picture	B1T010	620417	1165	2	8000	174	1000	8000
20	Response	2	628589	-1	164				
21	Picture	AT020	645921	1000	170	5667	171	1000	8000
21	Response	1	651376	6455	2				
23	Picture	AD050	672758	1000	171	5501	172	1000	8000
23	Response	1	678088	6330	1				
25	Picture	AT010	699261	1000	171	8168	172	1000	8000
26	Response	2	708001	571	2				
29	Picture	B1D040	765270	1165	1	7816	190	1000	8000
29	Response	2	773085	8980	1				
31	Picture	AD070	793107	1165	1	6085	88	1000	8000
31	Response	1	799191	7249	1				
33	Picture	B1T020	816444	1166	1	8000	172	1000	8000
35	Picture	AT030	845619	1000	166	8163	167	1000	8000
37	Picture	NT040	873285	1158	1	8000	172	1000	8000
38	Response	2	883167	1710	1				
39	Picture	B2T020	900455	1000	171	8168	172	1000	8000
40	Response	1	923183	14559	1				
41	Picture	AD080	929626	1166	1	8000	172	1000	8000
42	Response	1	943392	5432	1				
43	Picture	NT020	956629	1000	171	3167	173	1000	8000
43	Response	3	959711	4082	1				
44	Response	2	967501	7705	2				
45	Picture	AT040	979799	1000	171	3501	172	1000	8000
45	Response	3	983208	4409	1				
46	Response	2	990176	6876	2				
47	Picture	NT030	1001969	1000	170	4334	171	1000	8000
47	Response	3	1006175	5206	1				
48	Response	2	1011937	5634	1				
49	Picture	ND080	1027305	1000	171	2834	172	1000	8000
49	Response	3	1030023	3718	1				
50	Response	1	1039593	9454	2				
51	Picture	B2T010	1049142	1000	170	3667	171	1000	8000
51	Response	3	1052635	4493	1				
52	Response	2	1059011	6202	1				
55	Picture	B2T001	1113150	1000	171	4501	172	1000	8000
55	Response	3	1117489	5339	1				
56	Response	2	1123396	5745	1				
57	Picture	AD041	1135653	1000	171	8168	172	1000	8000
58	Response	2	1146174	2352	1				
59	Picture	B1T001	1162490	1165	2	3352	155	1000	8000
59	Response	3	1165841	4516	1				
60	Response	2	1171199	5357	1				
61	Picture	ND041	1186327	1166	1	7545	127	1000	8000
61	Response	1	1193870	8709	2				
63	Picture	AD061	1213664	1166	1	8000	172	1000	8000
64	Response	2	1227161	5163	1				
65	Picture	B2D021	1241334	1000	171	8168	172	1000	8000
66	Response	1	1252642	3139	1				
67	Picture	NT001	1267004	1165	2	8000	174	1000	8000
68	Response	2	1275510	171	1				
69	Picture	ND051	1295008	1000	171	8168	172	1000	8000
70	Response	2	1303769	592	1				
71	Picture	NT011	1322012	1166	1	4170	168	1000	8000
71	Response	3	1326181	5335	1				
72	Response	2	1330091	3909	2				
73	Picture	B1D021	1344181	1165	2	8000	174	1000	8000
74	Response	2	1355628	3112	2				
75	Picture	AD051	1371857	1000	165	5996	166	1000	8000
75	Response	3	1377718	6861	1				
76	Response	2	1383319	5466	1				
77	Picture	AT001	1397188	1000	171	8168	172	1000	8000
78	Response	2	1405987	630	1				
81	Picture	AD071	1466531	1165	1	8000	286	1000	8000
82	Response	2	1476864	1998	2				
83	Picture	NT031	1493040	1000	166	5495	168	1000	8000
83	Response	3	1498335	6295	1				
84	Response	2	1506738	8203	1				
85	Picture	NT021	1517038	1000	171	3667	172	1000	8000
85	Response	3	1520597	4559	2				
86	Response	2	1525433	4728	1				
87	Picture	B2T011	1539541	1000	171	3667	172	1000	8000
87	Response	3	1543066	4525	1				
88	Response	2	1548251	5043	1				
89	Picture	ND061	1563544	1000	171	8168	172	1000	8000
90	Response	1	1573315	1602	2				
91	Picture	B2T009	1590715	1166	1	6731	108	1000	8000
91	Response	3	1597445	7896	1				
92	Response	2	1604270	6824	1				
93	Picture	AT011	1615218	1166	1	6693	146	1000	8000
93	Response	3	1621910	7858	1				
94	Response	1	1625704	3793	1				
95	Picture	AT021	1640721	1165	2	4621	51	1000	8000
